checkin_id,user_id,venue_id,venue_name,venue_category,latitude,longitude,timestamp,crowd_density,avg_dwell_minutes,day_of_week,hour_of_day,is_weekend,weather_condition,user_age_group,user_preference,visit_frequency,user_engagement_score,venue_popularity_score,event_type,user_status,recommended_venue,incident_flag,officer_action,patrol_zone,activity_type
CHK0011,USR0064,VEN006,Grand Theater,Entertainment,40.7012,-74.0069,03/28/2024 08:25:56 PM,79,109,Thursday,20,0,Rainy,25-34,Music,Medium,74,63,Weekend Party,Returning,Recommend Metro Nightclub,HIGH,Monitor Closely,Zone A — Downtown,Nightlife Event
CHK0012,USR0036,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,05/08/2024 10:37:27 AM,39,198,Wednesday,10,0,Cloudy,35-44,Business,Medium,75,68,Business Meetup,Returning,Recommend Central Coffee House,NORMAL,No Action Required,Zone C — Midtown,Private Gathering
CHK0013,USR0109,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,05/03/2024 08:03:55 AM,28,126,Friday,8,0,Clear,25-34,Music,High,57,57,Live Music,Returning,Recommend Central Coffee House,NORMAL,No Action Required,Zone C — Midtown,Live Entertainment
CHK0014,USR0003,VEN010,Riverwalk Park,Park,40.7054,-74.0087,03/09/2024 12:38:29 PM,62,62,Saturday,12,1,Sunny,45+,Nightlife,Low,58,80,Morning Workout,New,Recommend Greenfield Gym,ELEVATED,Routine Patrol,Zone D — Waterfront,Regular Activity
CHK0015,USR0041,VEN002,Harborview Bar,Bar/Lounge,40.7295,-74.0028,05/27/2024 11:48:17 PM,83,107,Monday,23,0,Cloudy,45+,Nightlife,Medium,71,69,Live Music,Returning,Recommend Metro Nightclub,HIGH,Monitor Closely,Zone B — Harbor District,Live Entertainment
CHK0016,USR0028,VEN008,City Mall,Mall,40.7261,-74.007,03/01/2024 07:56:46 PM,58,86,Friday,19,0,Clear,45+,Shopping,Medium,50,62,Retail Promotion,Returning,Recommend Downtown Food Court,ELEVATED,Routine Patrol,Zone F — Commercial,Crowd Event
CHK0017,USR0136,VEN005,Greenfield Gym,Gym,40.7087,-74.0077,05/21/2024 01:12:09 PM,34,88,Tuesday,13,0,Sunny,25-34,Fitness,Medium,41,50,Morning Workout,Returning,Recommend Riverwalk Park,NORMAL,No Action Required,Zone E — North End,Regular Activity
CHK0018,USR0079,VEN001,Metro Nightclub,Nightclub,40.7121,-74.0032,05/16/2024 09:01:07 PM,92,89,Thursday,21,0,Rainy,18-24,Fitness,Low,52,53,Live Music,New,Recommend Harborview Bar,CRITICAL,Immediate Response,Zone A — Downtown,Live Entertainment
CHK0019,USR0195,VEN004,Seaside Restaurant,Restaurant,40.7267,-74.0054,03/08/2024 12:36:05 PM,75,79,Friday,12,0,Clear,25-34,Shopping,Medium,65,69,Happy Hour,Returning,Recommend Downtown Food Court,HIGH,Monitor Closely,Zone D — Waterfront,Alcohol Service
CHK0020,USR0055,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,03/17/2024 03:30:35 AM,20,157,Sunday,3,1,Clear,35-44,Shopping,Low,50,50,Live Music,New,Recommend Central Coffee House,NORMAL,No Action Required,Zone C — Midtown,Live Entertainment
CHK0021,USR0133,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,05/28/2024 10:19:25 AM,36,151,Tuesday,10,0,Rainy,25-34,Business,Medium,74,76,Live Music,New,Recommend Central Coffee House,NORMAL,No Action Required,Zone C — Midtown,Live Entertainment
CHK0022,USR0002,VEN008,City Mall,Mall,40.7261,-74.007,03/16/2024 01:04:21 PM,64,90,Saturday,13,1,Clear,18-24,Shopping,Medium,48,79,Weekend Party,New,Recommend Downtown Food Court,ELEVATED,Routine Patrol,Zone F — Commercial,Nightlife Event
CHK0023,USR0072,VEN002,Harborview Bar,Bar/Lounge,40.7295,-74.0028,05/20/2024 06:04:57 AM,71,97,Monday,6,0,Clear,45+,Food,High,40,50,Live Music,New,Recommend Metro Nightclub,HIGH,Monitor Closely,Zone B — Harbor District,Live Entertainment
CHK0024,USR0122,VEN008,City Mall,Mall,40.7261,-74.007,03/28/2024 03:46:59 PM,68,86,Thursday,15,0,Cloudy,18-24,Social,High,47,67,Lunch Rush,New,Recommend Downtown Food Court,ELEVATED,Routine Patrol,Zone F — Commercial,High Foot Traffic
CHK0025,USR0014,VEN007,Downtown Food Court,Food Court,40.708,-74.0019,03/25/2024 09:42:27 AM,58,28,Monday,9,0,Sunny,35-44,Coffee,High,40,50,Retail Promotion,Returning,Recommend Seaside Restaurant,ELEVATED,Routine Patrol,Zone A — Downtown,Crowd Event
CHK0026,USR0115,VEN002,Harborview Bar,Bar/Lounge,40.7295,-74.0028,03/08/2024 07:21:51 PM,79,99,Friday,19,0,Cloudy,18-24,Business,Medium,48,63,Happy Hour,Returning,Recommend Metro Nightclub,HIGH,Monitor Closely,Zone B — Harbor District,Alcohol Service
CHK0027,USR0141,VEN003,Central Coffee House,Cafe,40.7251,-74.008,04/24/2024 07:29:15 AM,52,57,Wednesday,7,0,Cloudy,25-34,Business,Medium,58,73,Lunch Rush,Returning,Recommend TechHub Coworking,ELEVATED,Routine Patrol,Zone C — Midtown,High Foot Traffic
CHK0028,USR0061,VEN002,Harborview Bar,Bar/Lounge,40.7295,-74.0028,03/07/2024 09:34:53 PM,92,118,Thursday,21,0,Clear,45+,Nightlife,Medium,66,88,Networking Event,New,Recommend Metro Nightclub,CRITICAL,Immediate Response,Zone B — Harbor District,Large Gathering
CHK0029,USR0100,VEN003,Central Coffee House,Cafe,40.7251,-74.008,04/22/2024 10:13:55 AM,46,44,Monday,10,0,Sunny,45+,Coffee,Low,40,62,Lunch Rush,New,Recommend TechHub Coworking,NORMAL,No Action Required,Zone C — Midtown,High Foot Traffic
CHK0030,USR0040,VEN005,Greenfield Gym,Gym,40.7087,-74.0077,04/28/2024 08:44:46 AM,25,46,Sunday,8,1,Rainy,45+,Coffee,Medium,40,50,Business Meetup,Returning,Recommend Riverwalk Park,NORMAL,No Action Required,Zone E — North End,Private Gathering
CHK0031,USR0013,VEN004,Seaside Restaurant,Restaurant,40.7267,-74.0054,04/07/2024 12:03:37 PM,79,86,Sunday,12,1,Cloudy,45+,Shopping,Medium,63,80,Lunch Rush,Returning,Recommend Downtown Food Court,HIGH,Monitor Closely,Zone D — Waterfront,High Foot Traffic
CHK0032,USR0048,VEN010,Riverwalk Park,Park,40.7054,-74.0087,05/01/2024 02:54:33 PM,48,56,Wednesday,14,0,Clear,25-34,Food,Medium,46,63,Weekend Party,Returning,Recommend Greenfield Gym,NORMAL,No Action Required,Zone D — Waterfront,Nightlife Event
CHK0033,USR0149,VEN002,Harborview Bar,Bar/Lounge,40.7295,-74.0028,05/16/2024 07:55:15 AM,70,75,Thursday,7,0,Sunny,45+,Fitness,Medium,44,53,Live Music,New,Recommend Metro Nightclub,HIGH,Monitor Closely,Zone B — Harbor District,Live Entertainment
CHK0034,USR0053,VEN010,Riverwalk Park,Park,40.7054,-74.0087,03/06/2024 03:26:42 PM,50,52,Wednesday,15,0,Sunny,18-24,Shopping,High,40,67,Weekend Party,Returning,Recommend Greenfield Gym,ELEVATED,Routine Patrol,Zone D — Waterfront,Nightlife Event
CHK0035,USR0019,VEN006,Grand Theater,Entertainment,40.7012,-74.0069,03/31/2024 03:08:42 PM,70,111,Sunday,15,1,Sunny,45+,Food,Medium,53,61,Live Music,Returning,Recommend Metro Nightclub,HIGH,Monitor Closely,Zone A — Downtown,Live Entertainment
CHK0036,USR0090,VEN001,Metro Nightclub,Nightclub,40.7121,-74.0032,04/28/2024 11:36:06 PM,100,153,Sunday,23,1,Clear,35-44,Fitness,Low,84,78,Live Music,New,Recommend Harborview Bar,CRITICAL,Immediate Response,Zone A — Downtown,Live Entertainment
CHK0037,USR0168,VEN002,Harborview Bar,Bar/Lounge,40.7295,-74.0028,04/01/2024 07:10:28 PM,82,63,Monday,19,0,Cloudy,35-44,Business,Medium,42,59,Happy Hour,New,Recommend Metro Nightclub,HIGH,Monitor Closely,Zone B — Harbor District,Alcohol Service
CHK0038,USR0068,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,03/02/2024 01:35:19 PM,20,216,Saturday,13,1,Rainy,25-34,Food,Medium,64,57,Live Music,New,Recommend Central Coffee House,NORMAL,No Action Required,Zone C — Midtown,Live Entertainment
CHK0039,USR0176,VEN002,Harborview Bar,Bar/Lounge,40.7295,-74.0028,03/14/2024 10:09:17 PM,92,114,Thursday,22,0,Clear,35-44,Fitness,High,65,79,Networking Event,New,Recommend Metro Nightclub,CRITICAL,Immediate Response,Zone B — Harbor District,Large Gathering
CHK0040,USR0071,VEN005,Greenfield Gym,Gym,40.7087,-74.0077,05/04/2024 11:57:58 AM,28,66,Saturday,11,1,Cloudy,18-24,Nightlife,Medium,40,50,Business Meetup,Returning,Recommend Riverwalk Park,NORMAL,No Action Required,Zone E — North End,Private Gathering
CHK0041,USR0181,VEN001,Metro Nightclub,Nightclub,40.7121,-74.0032,03/01/2024 09:08:40 PM,85,140,Friday,21,0,Rainy,45+,Coffee,Medium,71,54,Weekend Party,Returning,Recommend Harborview Bar,CRITICAL,Immediate Response,Zone A — Downtown,Nightlife Event
CHK0042,USR0095,VEN007,Downtown Food Court,Food Court,40.708,-74.0019,05/11/2024 01:04:56 AM,53,23,Saturday,1,1,Cloudy,18-24,Food,Low,40,50,Dinner Special,Returning,Recommend Seaside Restaurant,ELEVATED,Routine Patrol,Zone A — Downtown,Dining Service
CHK0043,USR0011,VEN010,Riverwalk Park,Park,40.7054,-74.0087,05/10/2024 09:08:02 AM,55,46,Friday,9,0,Sunny,45+,Nightlife,Medium,40,59,Concert,Returning,Recommend Greenfield Gym,ELEVATED,Routine Patrol,Zone D — Waterfront,Major Event
CHK0044,USR0159,VEN006,Grand Theater,Entertainment,40.7012,-74.0069,03/27/2024 08:42:06 PM,80,89,Wednesday,20,0,Sunny,45+,Food,High,56,65,Concert,New,Recommend Metro Nightclub,HIGH,Monitor Closely,Zone A — Downtown,Major Event
CHK0045,USR0086,VEN003,Central Coffee House,Cafe,40.7251,-74.008,03/31/2024 04:51:51 PM,38,35,Sunday,16,1,Clear,25-34,Fitness,Medium,40,52,Business Meetup,New,Recommend TechHub Coworking,NORMAL,No Action Required,Zone C — Midtown,Private Gathering
CHK0046,USR0010,VEN007,Downtown Food Court,Food Court,40.708,-74.0019,05/25/2024 06:51:15 PM,63,31,Saturday,18,1,Clear,45+,Fitness,Medium,42,62,Dinner Special,New,Recommend Seaside Restaurant,ELEVATED,Routine Patrol,Zone A — Downtown,Dining Service
CHK0047,USR0058,VEN008,City Mall,Mall,40.7261,-74.007,03/29/2024 12:58:29 PM,74,67,Friday,12,0,Sunny,18-24,Fitness,Low,55,78,Lunch Rush,New,Recommend Downtown Food Court,HIGH,Monitor Closely,Zone F — Commercial,High Foot Traffic
CHK0048,USR0165,VEN001,Metro Nightclub,Nightclub,40.7121,-74.0032,05/24/2024 06:21:17 PM,83,108,Friday,18,0,Cloudy,25-34,Nightlife,Low,53,50,Weekend Party,New,Recommend Harborview Bar,HIGH,Monitor Closely,Zone A — Downtown,Nightlife Event
CHK0049,USR0067,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,04/21/2024 01:53:34 PM,23,185,Sunday,13,1,Sunny,18-24,Nightlife,Low,76,50,Networking Event,Returning,Recommend Central Coffee House,NORMAL,No Action Required,Zone C — Midtown,Large Gathering
CHK0050,USR0081,VEN003,Central Coffee House,Cafe,40.7251,-74.008,05/14/2024 08:16:02 PM,30,32,Tuesday,20,0,Clear,25-34,Nightlife,High,40,50,Business Meetup,New,Recommend TechHub Coworking,NORMAL,No Action Required,Zone C — Midtown,Private Gathering
CHK0051,USR0112,VEN007,Downtown Food Court,Food Court,40.708,-74.0019,05/17/2024 09:07:24 PM,52,23,Friday,21,0,Cloudy,18-24,Coffee,Low,40,50,Retail Promotion,Returning,Recommend Seaside Restaurant,ELEVATED,Routine Patrol,Zone A — Downtown,Crowd Event
CHK0052,USR0094,VEN001,Metro Nightclub,Nightclub,40.7121,-74.0032,05/06/2024 11:34:43 PM,97,94,Monday,23,0,Cloudy,45+,Food,Medium,55,73,Weekend Party,Returning,Recommend Harborview Bar,CRITICAL,Immediate Response,Zone A — Downtown,Nightlife Event
CHK0053,USR0077,VEN007,Downtown Food Court,Food Court,40.708,-74.0019,03/09/2024 08:58:21 PM,55,22,Saturday,20,1,Sunny,35-44,Nightlife,Medium,40,50,Lunch Rush,Returning,Recommend Seaside Restaurant,ELEVATED,Routine Patrol,Zone A — Downtown,High Foot Traffic
CHK0054,USR0171,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,04/09/2024 03:20:25 PM,43,174,Tuesday,15,0,Cloudy,45+,Nightlife,Medium,73,67,Business Meetup,Returning,Recommend Central Coffee House,NORMAL,No Action Required,Zone C — Midtown,Private Gathering
CHK0055,USR0078,VEN007,Downtown Food Court,Food Court,40.708,-74.0019,05/26/2024 05:11:39 PM,55,35,Sunday,17,1,Sunny,45+,Shopping,High,40,57,Lunch Rush,New,Recommend Seaside Restaurant,ELEVATED,Routine Patrol,Zone A — Downtown,High Foot Traffic
CHK0056,USR0055,VEN005,Greenfield Gym,Gym,40.7087,-74.0077,03/27/2024 10:37:38 AM,26,60,Wednesday,10,0,Cloudy,35-44,Shopping,Low,40,50,Morning Workout,New,Recommend Riverwalk Park,NORMAL,No Action Required,Zone E — North End,Regular Activity
CHK0057,USR0163,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,04/30/2024 04:50:47 PM,41,209,Tuesday,16,0,Clear,25-34,Business,Medium,88,77,Business Meetup,Returning,Recommend Central Coffee House,NORMAL,No Action Required,Zone C — Midtown,Private Gathering
CHK0058,USR0007,VEN010,Riverwalk Park,Park,40.7054,-74.0087,04/12/2024 07:48:15 AM,52,55,Friday,7,0,Cloudy,25-34,Business,Medium,40,51,Morning Workout,Returning,Recommend Greenfield Gym,ELEVATED,Routine Patrol,Zone D — Waterfront,Regular Activity
CHK0059,USR0148,VEN001,Metro Nightclub,Nightclub,40.7121,-74.0032,04/01/2024 11:39:54 PM,92,138,Monday,23,0,Cloudy,35-44,Business,Medium,72,62,Live Music,New,Recommend Harborview Bar,CRITICAL,Immediate Response,Zone A — Downtown,Live Entertainment
CHK0060,USR0198,VEN004,Seaside Restaurant,Restaurant,40.7267,-74.0054,05/29/2024 02:25:15 PM,67,33,Wednesday,14,0,Clear,18-24,Fitness,High,40,50,Lunch Rush,Returning,Recommend Downtown Food Court,ELEVATED,Routine Patrol,Zone D — Waterfront,High Foot Traffic
CHK0061,USR0032,VEN002,Harborview Bar,Bar/Lounge,40.7295,-74.0028,04/24/2024 05:51:44 PM,88,95,Wednesday,17,0,Sunny,35-44,Business,Medium,48,65,Networking Event,Returning,Recommend Metro Nightclub,CRITICAL,Immediate Response,Zone B — Harbor District,Large Gathering
CHK0062,USR0114,VEN008,City Mall,Mall,40.7261,-74.007,03/18/2024 05:42:33 PM,62,62,Monday,17,0,Rainy,25-34,Shopping,Medium,40,58,Retail Promotion,New,Recommend Downtown Food Court,ELEVATED,Routine Patrol,Zone F — Commercial,Crowd Event
CHK0063,USR0116,VEN010,Riverwalk Park,Park,40.7054,-74.0087,05/04/2024 01:58:35 PM,56,85,Saturday,13,1,Sunny,45+,Social,High,67,84,Morning Workout,Returning,Recommend Greenfield Gym,ELEVATED,Routine Patrol,Zone D — Waterfront,Regular Activity
CHK0064,USR0113,VEN005,Greenfield Gym,Gym,40.7087,-74.0077,04/01/2024 07:17:49 PM,37,68,Monday,19,0,Cloudy,35-44,Music,Low,40,58,Networking Event,Returning,Recommend Riverwalk Park,NORMAL,No Action Required,Zone E — North End,Large Gathering
CHK0065,USR0099,VEN002,Harborview Bar,Bar/Lounge,40.7295,-74.0028,04/06/2024 05:21:20 PM,88,98,Saturday,17,1,Cloudy,18-24,Fitness,Medium,56,77,Live Music,Returning,Recommend Metro Nightclub,CRITICAL,Immediate Response,Zone B — Harbor District,Live Entertainment
CHK0066,USR0108,VEN003,Central Coffee House,Cafe,40.7251,-74.008,03/28/2024 07:26:21 AM,43,51,Thursday,7,0,Sunny,25-34,Coffee,Medium,48,73,Business Meetup,Returning,Recommend TechHub Coworking,NORMAL,No Action Required,Zone C — Midtown,Private Gathering
CHK0067,USR0091,VEN007,Downtown Food Court,Food Court,40.708,-74.0019,05/14/2024 08:01:54 PM,55,19,Tuesday,20,0,Cloudy,18-24,Business,Medium,40,50,Dinner Special,Returning,Recommend Seaside Restaurant,ELEVATED,Routine Patrol,Zone A — Downtown,Dining Service
CHK0068,USR0057,VEN005,Greenfield Gym,Gym,40.7087,-74.0077,04/19/2024 07:53:26 PM,42,47,Friday,19,0,Sunny,35-44,Nightlife,Low,48,64,Morning Workout,Returning,Recommend Riverwalk Park,NORMAL,No Action Required,Zone E — North End,Regular Activity
CHK0069,USR0186,VEN008,City Mall,Mall,40.7261,-74.007,03/29/2024 01:31:01 PM,66,67,Friday,13,0,Sunny,18-24,Music,Medium,47,73,Weekend Party,Returning,Recommend Downtown Food Court,ELEVATED,Routine Patrol,Zone F — Commercial,Nightlife Event
CHK0070,USR0007,VEN003,Central Coffee House,Cafe,40.7251,-74.008,04/29/2024 05:39:34 PM,37,37,Monday,17,0,Clear,25-34,Business,Medium,40,50,Morning Workout,Returning,Recommend TechHub Coworking,NORMAL,No Action Required,Zone C — Midtown,Regular Activity
CHK0071,USR0117,VEN002,Harborview Bar,Bar/Lounge,40.7295,-74.0028,05/22/2024 07:55:29 PM,83,104,Wednesday,19,0,Clear,25-34,Fitness,Medium,54,58,Live Music,New,Recommend Metro Nightclub,HIGH,Monitor Closely,Zone B — Harbor District,Live Entertainment
CHK0072,USR0021,VEN006,Grand Theater,Entertainment,40.7012,-74.0069,04/13/2024 09:24:17 PM,85,99,Saturday,21,1,Cloudy,25-34,Music,Medium,60,80,Concert,New,Recommend Metro Nightclub,CRITICAL,Immediate Response,Zone A — Downtown,Major Event
CHK0073,USR0011,VEN008,City Mall,Mall,40.7261,-74.007,03/03/2024 05:03:22 PM,75,121,Sunday,17,1,Clear,45+,Nightlife,Medium,78,89,Retail Promotion,Returning,Recommend Downtown Food Court,HIGH,Monitor Closely,Zone F — Commercial,Crowd Event
CHK0074,USR0145,VEN001,Metro Nightclub,Nightclub,40.7121,-74.0032,04/01/2024 06:01:39 PM,79,139,Monday,18,0,Clear,25-34,Nightlife,Medium,56,50,Happy Hour,Returning,Recommend Harborview Bar,HIGH,Monitor Closely,Zone A — Downtown,Alcohol Service
CHK0075,USR0030,VEN004,Seaside Restaurant,Restaurant,40.7267,-74.0054,04/29/2024 07:49:23 PM,72,62,Monday,19,0,Clear,18-24,Coffee,Medium,45,71,Happy Hour,New,Recommend Downtown Food Court,HIGH,Monitor Closely,Zone D — Waterfront,Alcohol Service
CHK0076,USR0102,VEN003,Central Coffee House,Cafe,40.7251,-74.008,04/09/2024 07:01:59 AM,45,29,Tuesday,7,0,Sunny,18-24,Nightlife,Medium,40,69,Business Meetup,Returning,Recommend TechHub Coworking,NORMAL,No Action Required,Zone C — Midtown,Private Gathering
CHK0077,USR0176,VEN004,Seaside Restaurant,Restaurant,40.7267,-74.0054,03/10/2024 07:53:40 PM,80,71,Sunday,19,1,Clear,35-44,Fitness,High,59,87,Dinner Special,New,Recommend Downtown Food Court,HIGH,Monitor Closely,Zone D — Waterfront,Dining Service
CHK0078,USR0018,VEN010,Riverwalk Park,Park,40.7054,-74.0087,03/16/2024 05:36:50 PM,51,53,Saturday,17,1,Clear,35-44,Social,Low,40,64,Morning Workout,Returning,Recommend Greenfield Gym,ELEVATED,Routine Patrol,Zone D — Waterfront,Regular Activity
CHK0079,USR0163,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,05/22/2024 11:54:26 AM,39,240,Wednesday,11,0,Cloudy,25-34,Business,Medium,92,81,Networking Event,Returning,Recommend Central Coffee House,NORMAL,No Action Required,Zone C — Midtown,Large Gathering
CHK0080,USR0138,VEN008,City Mall,Mall,40.7261,-74.007,03/20/2024 02:46:33 PM,69,125,Wednesday,14,0,Rainy,35-44,Business,High,60,66,Lunch Rush,New,Recommend Downtown Food Court,ELEVATED,Routine Patrol,Zone F — Commercial,High Foot Traffic
CHK0081,USR0023,VEN008,City Mall,Mall,40.7261,-74.007,04/29/2024 02:46:37 PM,67,71,Monday,14,0,Clear,35-44,Food,High,55,75,Weekend Party,Returning,Recommend Downtown Food Court,ELEVATED,Routine Patrol,Zone F — Commercial,Nightlife Event
CHK0082,USR0084,VEN005,Greenfield Gym,Gym,40.7087,-74.0077,04/27/2024 08:29:36 AM,38,70,Saturday,8,1,Sunny,35-44,Social,Low,48,59,Morning Workout,Returning,Recommend Riverwalk Park,NORMAL,No Action Required,Zone E — North End,Regular Activity
CHK0083,USR0071,VEN003,Central Coffee House,Cafe,40.7251,-74.008,05/02/2024 08:51:16 AM,43,42,Thursday,8,0,Sunny,18-24,Nightlife,Medium,50,75,Lunch Rush,Returning,Recommend TechHub Coworking,NORMAL,No Action Required,Zone C — Midtown,High Foot Traffic
CHK0084,USR0062,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,03/02/2024 11:12:05 AM,20,191,Saturday,11,1,Clear,35-44,Business,Medium,62,50,Live Music,Returning,Recommend Central Coffee House,NORMAL,No Action Required,Zone C — Midtown,Live Entertainment
CHK0085,USR0063,VEN008,City Mall,Mall,40.7261,-74.007,05/22/2024 05:28:50 PM,65,112,Wednesday,17,0,Clear,35-44,Business,Medium,67,62,Retail Promotion,New,Recommend Downtown Food Court,ELEVATED,Routine Patrol,Zone F — Commercial,Crowd Event
CHK0086,USR0085,VEN005,Greenfield Gym,Gym,40.7087,-74.0077,05/24/2024 03:30:35 PM,28,62,Friday,15,0,Sunny,45+,Fitness,Medium,40,50,Morning Workout,New,Recommend Riverwalk Park,NORMAL,No Action Required,Zone E — North End,Regular Activity
CHK0087,USR0191,VEN006,Grand Theater,Entertainment,40.7012,-74.0069,05/29/2024 06:19:16 PM,77,79,Wednesday,18,0,Clear,25-34,Food,Low,52,59,Live Music,Returning,Recommend Metro Nightclub,HIGH,Monitor Closely,Zone A — Downtown,Live Entertainment
CHK0088,USR0135,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,05/28/2024 09:13:47 AM,35,87,Tuesday,9,0,Sunny,25-34,Coffee,High,54,72,Live Music,New,Recommend Central Coffee House,NORMAL,No Action Required,Zone C — Midtown,Live Entertainment
CHK0089,USR0182,VEN010,Riverwalk Park,Park,40.7054,-74.0087,04/06/2024 09:53:12 PM,42,49,Saturday,21,1,Clear,45+,Nightlife,Medium,40,50,Concert,New,Recommend Greenfield Gym,NORMAL,No Action Required,Zone D — Waterfront,Major Event
CHK0090,USR0193,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,03/17/2024 07:03:35 AM,25,153,Sunday,7,1,Clear,25-34,Music,Medium,60,50,Networking Event,Returning,Recommend Central Coffee House,NORMAL,No Action Required,Zone C — Midtown,Large Gathering
CHK0091,USR0014,VEN008,City Mall,Mall,40.7261,-74.007,03/14/2024 06:36:18 PM,68,92,Thursday,18,0,Sunny,35-44,Coffee,High,50,63,Retail Promotion,Returning,Recommend Downtown Food Court,ELEVATED,Routine Patrol,Zone F — Commercial,Crowd Event
CHK0092,USR0039,VEN005,Greenfield Gym,Gym,40.7087,-74.0077,05/01/2024 06:04:25 AM,43,58,Wednesday,6,0,Sunny,35-44,Social,Medium,43,64,Morning Workout,Returning,Recommend Riverwalk Park,NORMAL,No Action Required,Zone E — North End,Regular Activity
CHK0093,USR0159,VEN003,Central Coffee House,Cafe,40.7251,-74.008,05/12/2024 07:05:15 PM,34,18,Sunday,19,1,Clear,45+,Food,High,40,50,Morning Workout,New,Recommend TechHub Coworking,NORMAL,No Action Required,Zone C — Midtown,Regular Activity
CHK0094,USR0146,VEN004,Seaside Restaurant,Restaurant,40.7267,-74.0054,05/06/2024 02:58:28 PM,60,53,Monday,14,0,Clear,45+,Nightlife,Medium,40,50,Lunch Rush,Returning,Recommend Downtown Food Court,ELEVATED,Routine Patrol,Zone D — Waterfront,High Foot Traffic
CHK0095,USR0170,VEN010,Riverwalk Park,Park,40.7054,-74.0087,03/08/2024 03:47:06 PM,49,54,Friday,15,0,Rainy,35-44,Shopping,High,40,50,Concert,New,Recommend Greenfield Gym,NORMAL,No Action Required,Zone D — Waterfront,Major Event
