checkin_id,user_id,venue_id,venue_name,venue_category,latitude,longitude,timestamp,crowd_density,avg_dwell_minutes,day_of_week,hour_of_day,is_weekend,weather_condition,user_age_group,user_preference,visit_frequency,user_engagement_score,venue_popularity_score,event_type,user_status,recommended_venue,incident_flag,officer_action,patrol_zone,activity_type,city,county,state,event_name,event_category,event_size,event_start_time,event_end_time,event_risk_level
CHK00018,USR0136,VEN191,Grand Galleria,Mall,40.732615,-74.007823,05/20/2024 11:59:14 AM,59,55,Monday,11,0,Sunny,45+,Music,Low,41,50,Retail Promotion,Returning,Recommend Harbor Galleria,ELEVATED,Routine Patrol,Zone I — University,Crowd Event,North Bergen,Bergen County,New Jersey,Holiday Shopping,Retail,Medium,11:00 AM,1:00 PM,ELEVATED
CHK00019,USR0040,VEN281,Lobby Lounge,Hotel Bar,40.72612,-74.012023,01/21/2024 10:17:07 AM,68,134,Sunday,10,1,Sunny,35-44,Food,Low,75,50,Live Music,New,Recommend Suite Bar,ELEVATED,Routine Patrol,Zone I — University,Live Entertainment,North Bergen,Bergen County,New Jersey,Weekend Social,Nightlife,Medium,10:00 AM,12:00 PM,ELEVATED
CHK00020,USR0868,VEN104,Table Dining,Restaurant,40.691285,-73.992213,05/29/2024 06:12:07 PM,79,81,Wednesday,18,0,Clear,45+,Shopping,Low,54,50,Lunch Rush,Returning,Recommend Table Eatery,HIGH,Monitor Closely,Zone H — South Side,High Foot Traffic,Bayonne,Hudson County,New Jersey,Special Dining Event,Dining,Medium,6:00 PM,8:00 PM,HIGH
CHK00021,USR0945,VEN028,Jade Pub,Bar/Lounge,40.703469,-74.018937,05/01/2024 09:58:36 PM,81,93,Wednesday,21,0,Rainy,45+,Fitness,Low,70,50,Networking Event,Returning,Recommend Harbor Tavern,HIGH,Monitor Closely,Zone B — Harbor District,Large Gathering,Hoboken,Hudson County,New Jersey,Happy Hour Special,Nightlife,Medium,9:00 PM,11:00 PM,HIGH
CHK00022,USR0545,VEN152,Arena Venue,Entertainment,40.715452,-74.009716,05/18/2024 07:34:53 PM,81,125,Saturday,19,1,Cloudy,25-34,Food,Low,68,50,Live Music,Returning,Recommend Grand Theater,HIGH,Monitor Closely,Zone D — Waterfront,Live Entertainment,Weehawken,Hudson County,New Jersey,Comedy Show,Entertainment,Medium,7:00 PM,9:00 PM,HIGH
CHK00023,USR0292,VEN055,River Bar,Bar/Lounge,40.71548,-74.023197,02/15/2024 03:38:17 PM,67,111,Thursday,15,0,Clear,35-44,Coffee,Low,61,50,Happy Hour Special,Returning,Recommend Red Pub,ELEVATED,Routine Patrol,Zone D — Waterfront,Alcohol Service,Weehawken,Hudson County,New Jersey,Networking Night,Nightlife,Medium,3:00 PM,5:00 PM,ELEVATED
CHK00024,USR0189,VEN293,Overtime Sports Grill,Sports Bar,40.732103,-73.993955,03/10/2024 08:50:27 AM,67,104,Sunday,8,1,Rainy,25-34,Music,Low,55,50,Happy Hour,Returning,Recommend Endzone Sports Lounge,ELEVATED,Routine Patrol,Zone C — Midtown,Alcohol Service,Jersey City,Hudson County,New Jersey,Sports Gathering,Sports,Medium,8:00 AM,10:00 AM,ELEVATED
CHK00025,USR0806,VEN232,Iron CrossFit,Gym,40.697858,-74.015483,03/10/2024 06:31:38 PM,48,49,Sunday,18,1,Sunny,35-44,Social,Low,40,50,Morning Workout,New,Recommend Flex CrossFit,NORMAL,No Action Required,Zone B — Harbor District,Regular Activity,Hoboken,Hudson County,New Jersey,Weekend Class,Fitness,Small,6:00 PM,8:00 PM,NORMAL
CHK00026,USR0365,VEN191,Grand Galleria,Mall,40.732615,-74.007823,03/12/2024 07:35:15 AM,54,29,Tuesday,7,0,Sunny,45+,Fitness,Low,40,50,Weekend Party,Returning,Recommend Urban Galleria,ELEVATED,Routine Patrol,Zone I — University,Nightlife Event,North Bergen,Bergen County,New Jersey,Holiday Shopping,Retail,Medium,7:00 AM,9:00 AM,ELEVATED
CHK00027,USR0700,VEN020,Rush Night,Nightclub,40.711857,-73.99327,04/29/2024 07:37:23 PM,74,104,Monday,19,0,Cloudy,25-34,Food,Low,66,50,Concert,New,Recommend Vibe Night,HIGH,Monitor Closely,Zone A — Downtown,Major Event,Jersey City,Hudson County,New Jersey,Weekend Takeover,Nightlife,Medium,7:00 PM,9:00 PM,HIGH
CHK00028,USR0571,VEN161,City Theater,Entertainment,40.690478,-74.010447,05/20/2024 05:57:01 PM,90,120,Monday,17,0,Sunny,35-44,Business,Low,70,50,Open Mic,New,Recommend Empire Stage,CRITICAL,Immediate Response,Zone B — Harbor District,Live Entertainment,Hoboken,Hudson County,New Jersey,Open Mic Night,Entertainment,Large,5:00 PM,7:00 PM,CRITICAL
CHK00029,USR0976,VEN059,Stone Tavern,Bar/Lounge,40.688482,-74.02331,05/09/2024 08:43:34 PM,82,104,Thursday,20,0,Rainy,25-34,Music,Low,71,50,Live Music,New,Recommend Crown Bar,HIGH,Monitor Closely,Zone B — Harbor District,Live Entertainment,Hoboken,Hudson County,New Jersey,Happy Hour Special,Nightlife,Medium,8:00 PM,10:00 PM,HIGH
CHK00030,USR0274,VEN102,Kitchen Dining,Restaurant,40.727061,-74.014276,06/08/2024 11:30:55 AM,80,95,Saturday,11,1,Sunny,25-34,Coffee,Low,64,50,Happy Hour,New,Recommend Urban Restaurant,HIGH,Monitor Closely,Zone I — University,Alcohol Service,North Bergen,Bergen County,New Jersey,Dinner Rush,Dining,Medium,11:00 AM,1:00 PM,HIGH
CHK00031,USR0541,VEN084,Harbor Brasserie,Restaurant,40.738814,-74.00526,06/18/2024 07:56:34 PM,85,68,Tuesday,19,0,Clear,25-34,Fitness,Low,51,50,Dinner Special,Returning,Recommend Kitchen Dining,CRITICAL,Immediate Response,Zone I — University,Dining Service,North Bergen,Bergen County,New Jersey,Holiday Dinner,Dining,Large,7:00 PM,9:00 PM,CRITICAL
CHK00032,USR0161,VEN215,Lift Gym,Gym,40.690754,-73.99973,01/11/2024 05:15:36 AM,54,36,Thursday,5,0,Rainy,35-44,Coffee,Low,40,50,Morning Workout,New,Recommend Fit CrossFit,ELEVATED,Routine Patrol,Zone J — Industrial,Regular Activity,Harrison,Essex County,New Jersey,Morning Workout,Fitness,Medium,5:00 AM,7:00 AM,ELEVATED
CHK00033,USR0880,VEN289,Terrace Bar,Hotel Bar,40.689147,-73.98664,05/27/2024 12:04:01 AM,59,67,Monday,0,0,Rainy,45+,Music,Low,40,50,Happy Hour,Returning,Recommend Vista Lounge,ELEVATED,Routine Patrol,Zone J — Industrial,Alcohol Service,Harrison,Essex County,New Jersey,Business Mixer,Nightlife,Medium,12:00 AM,2:00 AM,ELEVATED
CHK00034,USR0920,VEN140,Corner Cafe,Cafe,40.736471,-74.004121,06/11/2024 01:48:15 PM,35,47,Tuesday,13,0,Sunny,25-34,Business,Low,40,50,Networking Event,New,Recommend Steam Espresso,NORMAL,No Action Required,Zone I — University,Large Gathering,North Bergen,Bergen County,New Jersey,Study Session,Dining,Small,1:00 PM,3:00 PM,NORMAL
CHK00035,USR0387,VEN283,Rooftop Cocktail Bar,Hotel Bar,40.693887,-74.012917,05/28/2024 01:45:49 AM,74,109,Tuesday,1,0,Cloudy,35-44,Nightlife,Low,63,50,Networking Event,New,Recommend Suite Cocktail Bar,HIGH,Monitor Closely,Zone H — South Side,Large Gathering,Bayonne,Hudson County,New Jersey,Business Mixer,Nightlife,Medium,1:00 AM,3:00 AM,HIGH
CHK00036,USR0636,VEN054,Crown Lounge,Bar/Lounge,40.716343,-73.987517,03/10/2024 09:19:11 PM,92,130,Sunday,21,1,Cloudy,25-34,Music,Low,73,55,Networking Event,Returning,Recommend Oak Bar,CRITICAL,Immediate Response,Zone C — Midtown,Large Gathering,Jersey City,Hudson County,New Jersey,Happy Hour Special,Nightlife,Large,9:00 PM,11:00 PM,CRITICAL
CHK00037,USR0474,VEN143,Leaf Roasters,Cafe,40.717965,-74.023757,05/04/2024 07:27:10 AM,45,49,Saturday,7,1,Clear,18-24,Music,Low,40,50,Business Meetup,New,Recommend Steam Coffee,NORMAL,No Action Required,Zone D — Waterfront,Private Gathering,Weehawken,Hudson County,New Jersey,Weekend Brunch,Dining,Small,7:00 AM,9:00 AM,NORMAL
CHK00038,USR0553,VEN090,Harbor Eatery,Restaurant,40.736214,-74.003029,05/15/2024 06:45:16 PM,85,83,Wednesday,18,0,Sunny,45+,Music,Low,59,50,Lunch Rush,New,Recommend Grill Brasserie,CRITICAL,Immediate Response,Zone E — North End,High Foot Traffic,Union City,Hudson County,New Jersey,Dinner Rush,Dining,Large,6:00 PM,8:00 PM,CRITICAL
CHK00039,USR0881,VEN149,Fresh Espresso,Cafe,40.700114,-74.001967,05/10/2024 10:58:25 PM,25,46,Friday,22,0,Clear,35-44,Coffee,Low,40,50,Morning Workout,Returning,Recommend Leaf Roasters,NORMAL,No Action Required,Zone A — Downtown,Regular Activity,Jersey City,Hudson County,New Jersey,Weekend Brunch,Dining,Small,10:00 PM,12:00 AM,NORMAL
CHK00040,USR0945,VEN156,Liberty Stage,Entertainment,40.7362,-74.00717,02/01/2024 04:52:38 PM,72,90,Thursday,16,0,Rainy,45+,Fitness,Low,55,50,Open Mic,Returning,Recommend Empire Stage,HIGH,Monitor Closely,Zone C — Midtown,Live Entertainment,Jersey City,Hudson County,New Jersey,Live Concert,Entertainment,Medium,4:00 PM,6:00 PM,HIGH
CHK00041,USR0290,VEN214,Drive Fitness,Gym,40.709481,-74.015033,04/27/2024 06:59:06 PM,50,41,Saturday,18,1,Clear,18-24,Social,Low,40,50,Morning Workout,New,Recommend Core Athletics,ELEVATED,Routine Patrol,Zone D — Waterfront,Regular Activity,Weehawken,Hudson County,New Jersey,Weekend Class,Fitness,Medium,6:00 PM,8:00 PM,ELEVATED
CHK00042,USR0840,VEN016,Neon Club,Nightclub,40.7123,-74.015893,05/18/2024 08:17:16 PM,83,122,Saturday,20,1,Rainy,45+,Food,Low,78,50,Live Music,Returning,Recommend Volt Lounge,HIGH,Monitor Closely,Zone D — Waterfront,Live Entertainment,Weehawken,Hudson County,New Jersey,Late Night Session,Nightlife,Medium,8:00 PM,10:00 PM,HIGH
CHK00043,USR0729,VEN173,Point Food Hall,Food Court,40.739183,-74.007434,05/21/2024 08:20:22 PM,59,49,Tuesday,20,0,Sunny,18-24,Social,Low,48,50,Dinner Special,Returning,Recommend Market Food Hall,ELEVATED,Routine Patrol,Zone I — University,Dining Service,North Bergen,Bergen County,New Jersey,Food Festival,Dining,Medium,8:00 PM,10:00 PM,ELEVATED
CHK00044,USR0790,VEN013,Zenith Club,Nightclub,40.711882,-74.021223,01/06/2024 08:24:27 PM,81,145,Saturday,20,1,Clear,25-34,Coffee,Low,84,50,Live Music,Returning,Recommend Pulse Lounge,HIGH,Monitor Closely,Zone B — Harbor District,Live Entertainment,Hoboken,Hudson County,New Jersey,Friday Night Live,Nightlife,Medium,8:00 PM,10:00 PM,HIGH
CHK00045,USR0773,VEN234,Edge Gym,Gym,40.690606,-74.002903,02/01/2024 12:41:33 PM,23,70,Thursday,12,0,Sunny,35-44,Food,Low,40,50,Morning Workout,Returning,Recommend Prime Gym,NORMAL,No Action Required,Zone J — Industrial,Regular Activity,Harrison,Essex County,New Jersey,Morning Workout,Fitness,Small,12:00 PM,2:00 PM,NORMAL
CHK00046,USR0979,VEN068,Coast Brasserie,Restaurant,40.689011,-74.000402,02/06/2024 07:06:39 PM,85,51,Tuesday,19,0,Rainy,35-44,Business,Low,42,50,Happy Hour,New,Recommend Garden Dining,CRITICAL,Immediate Response,Zone J — Industrial,Alcohol Service,Harrison,Essex County,New Jersey,Weekend Brunch,Dining,Large,7:00 PM,9:00 PM,CRITICAL
CHK00047,USR0492,VEN006,Rush Lounge,Nightclub,40.708819,-74.006499,05/28/2024 02:52:17 PM,70,105,Tuesday,14,0,Clear,35-44,Shopping,Low,62,50,Weekend Party,New,Recommend Apex Club,HIGH,Monitor Closely,Zone B — Harbor District,Nightlife Event,Hoboken,Hudson County,New Jersey,Late Night Session,Nightlife,Medium,2:00 PM,4:00 PM,HIGH
CHK00048,USR0959,VEN185,Commons Market,Food Court,40.71049,-74.003556,03/07/2024 05:42:55 PM,58,53,Thursday,17,0,Cloudy,25-34,Coffee,Low,47,50,Lunch Rush,Returning,Recommend Plaza Market,ELEVATED,Routine Patrol,Zone A — Downtown,High Foot Traffic,Jersey City,Hudson County,New Jersey,Lunch Rush,Dining,Medium,5:00 PM,7:00 PM,ELEVATED
CHK00049,USR0930,VEN024,Vibe Club,Nightclub,40.69367,-74.015986,05/11/2024 11:05:52 PM,100,135,Saturday,23,1,Clear,45+,Social,Low,81,59,Weekend Party,Returning,Recommend Volt Lounge,CRITICAL,Immediate Response,Zone B — Harbor District,Nightlife Event,Hoboken,Hudson County,New Jersey,Weekend Takeover,Nightlife,Large,11:00 PM,1:00 AM,CRITICAL
CHK00050,USR0174,VEN006,Rush Lounge,Nightclub,40.708819,-74.006499,05/09/2024 12:10:51 PM,72,124,Thursday,12,0,Sunny,35-44,Social,Low,68,50,Weekend Party,New,Recommend Neon Club,HIGH,Monitor Closely,Zone B — Harbor District,Nightlife Event,Hoboken,Hudson County,New Jersey,Friday Night Live,Nightlife,Medium,12:00 PM,2:00 PM,HIGH
CHK00051,USR0395,VEN220,Pulse CrossFit,Gym,40.715096,-74.005296,03/23/2024 12:03:48 PM,24,105,Saturday,12,1,Sunny,35-44,Coffee,Low,45,50,Morning Workout,New,Recommend Edge Fitness,NORMAL,No Action Required,Zone J — Industrial,Regular Activity,Harrison,Essex County,New Jersey,Boot Camp,Fitness,Small,12:00 PM,2:00 PM,NORMAL
CHK00052,USR0279,VEN048,Copper Tavern,Bar/Lounge,40.708899,-74.017556,06/02/2024 04:23:07 PM,67,100,Sunday,16,1,Cloudy,45+,Shopping,Low,49,50,Happy Hour Special,New,Recommend Crown Bar,ELEVATED,Routine Patrol,Zone D — Waterfront,Alcohol Service,Weehawken,Hudson County,New Jersey,Sports Viewing Event,Nightlife,Medium,4:00 PM,6:00 PM,ELEVATED
CHK00053,USR0084,VEN087,Grill Dining,Restaurant,40.691724,-74.010006,03/04/2024 07:34:21 PM,76,86,Monday,19,0,Cloudy,25-34,Nightlife,Low,56,50,Dinner Special,New,Recommend Harvest Eatery,HIGH,Monitor Closely,Zone B — Harbor District,Dining Service,Hoboken,Hudson County,New Jersey,Holiday Dinner,Dining,Medium,7:00 PM,9:00 PM,HIGH
CHK00054,USR0325,VEN286,Suite Bar,Hotel Bar,40.72356,-74.001156,05/24/2024 03:22:36 PM,63,132,Friday,15,0,Clear,45+,Fitness,Low,74,50,Networking Event,Returning,Recommend Lobby Cocktail Bar,ELEVATED,Routine Patrol,Zone E — North End,Large Gathering,Union City,Hudson County,New Jersey,Business Mixer,Nightlife,Medium,3:00 PM,5:00 PM,ELEVATED
CHK00055,USR0073,VEN198,Grand Shopping Center,Mall,40.691182,-74.017663,02/03/2024 10:06:39 PM,61,95,Saturday,22,1,Rainy,25-34,Music,Low,57,50,Retail Promotion,Returning,Recommend City Shopping Center,ELEVATED,Routine Patrol,Zone B — Harbor District,Crowd Event,Hoboken,Hudson County,New Jersey,Holiday Shopping,Retail,Medium,10:00 PM,12:00 AM,ELEVATED
CHK00056,USR0833,VEN265,Cedar Commons,Park,40.711044,-74.015549,01/14/2024 09:06:58 AM,50,87,Sunday,9,1,Clear,45+,Music,Low,53,50,Sports Event,New,Recommend Central Gardens,ELEVATED,Routine Patrol,Zone B — Harbor District,Sports Gathering,Hoboken,Hudson County,New Jersey,Sports Event,Outdoor,Medium,9:00 AM,11:00 AM,ELEVATED
CHK00057,USR0941,VEN269,Oak Commons,Park,40.735966,-74.009919,05/20/2024 02:26:35 PM,39,72,Monday,14,0,Sunny,25-34,Music,Low,40,50,Weekend Party,New,Recommend Grove Reserve,NORMAL,No Action Required,Zone E — North End,Nightlife Event,Union City,Hudson County,New Jersey,Sports Event,Outdoor,Small,2:00 PM,4:00 PM,NORMAL
CHK00058,USR0489,VEN300,Overtime Sports Bar,Sports Bar,40.718687,-74.010942,03/29/2024 11:30:34 PM,88,66,Friday,23,0,Sunny,35-44,Fitness,Low,60,50,Happy Hour,New,Recommend Gridiron Sports Bar,CRITICAL,Immediate Response,Zone D — Waterfront,Alcohol Service,Weehawken,Hudson County,New Jersey,Championship Viewing,Sports,Large,11:00 PM,1:00 AM,CRITICAL
CHK00059,USR0813,VEN194,Plaza Galleria,Mall,40.700737,-74.011583,04/17/2024 03:51:40 AM,63,84,Wednesday,3,0,Rainy,45+,Music,Low,54,50,Weekend Party,New,Recommend Metro Galleria,ELEVATED,Routine Patrol,Zone B — Harbor District,Nightlife Event,Hoboken,Hudson County,New Jersey,Retail Event,Retail,Medium,3:00 AM,5:00 AM,ELEVATED
CHK00060,USR0910,VEN106,Grill Restaurant,Restaurant,40.72821,-74.01506,01/10/2024 07:20:22 PM,81,56,Wednesday,19,0,Sunny,25-34,Social,Low,58,50,Happy Hour,New,Recommend Coast Restaurant,HIGH,Monitor Closely,Zone I — University,Alcohol Service,North Bergen,Bergen County,New Jersey,Dinner Rush,Dining,Medium,7:00 PM,9:00 PM,HIGH
CHK00061,USR0074,VEN142,Daily Coffee,Cafe,40.713785,-74.020429,06/28/2024 10:02:05 PM,26,15,Friday,22,0,Sunny,45+,Food,Low,40,50,Morning Workout,New,Recommend Press Roasters,NORMAL,No Action Required,Zone D — Waterfront,Regular Activity,Weehawken,Hudson County,New Jersey,Coffee & Connect,Dining,Small,10:00 PM,12:00 AM,NORMAL
CHK00062,USR0230,VEN217,Iron Athletics,Gym,40.703709,-74.022413,04/10/2024 07:05:11 AM,49,108,Wednesday,7,0,Rainy,45+,Music,Low,44,50,Networking Event,New,Recommend Edge Fitness,NORMAL,No Action Required,Zone B — Harbor District,Large Gathering,Hoboken,Hudson County,New Jersey,Evening Fitness,Fitness,Small,7:00 AM,9:00 AM,NORMAL
CHK00063,USR0337,VEN199,Metro Mall,Mall,40.707201,-74.002516,05/25/2024 01:19:02 PM,52,87,Saturday,13,1,Clear,35-44,Nightlife,Low,40,50,Retail Promotion,Returning,Recommend Grand Shopping Center,ELEVATED,Routine Patrol,Zone D — Waterfront,Crowd Event,Weehawken,Hudson County,New Jersey,Holiday Shopping,Retail,Medium,1:00 PM,3:00 PM,ELEVATED
CHK00064,USR0669,VEN223,Peak Fitness,Gym,40.692201,-73.993101,04/10/2024 05:00:19 PM,54,83,Wednesday,17,0,Clear,45+,Business,Low,51,50,Networking Event,New,Recommend Fit Athletics,ELEVATED,Routine Patrol,Zone J — Industrial,Large Gathering,Harrison,Essex County,New Jersey,Boot Camp,Fitness,Medium,5:00 PM,7:00 PM,ELEVATED
CHK00065,USR0506,VEN234,Edge Gym,Gym,40.690606,-74.002903,02/16/2024 12:24:05 PM,20,47,Friday,12,0,Clear,25-34,Music,Low,40,50,Morning Workout,New,Recommend Peak Athletics,NORMAL,No Action Required,Zone J — Industrial,Regular Activity,Harrison,Essex County,New Jersey,Boot Camp,Fitness,Small,12:00 PM,2:00 PM,NORMAL
CHK00066,USR0431,VEN069,Plate Dining,Restaurant,40.702031,-73.999043,01/05/2024 01:53:38 PM,73,61,Friday,13,0,Rainy,35-44,Nightlife,Low,49,50,Business Meetup,Returning,Recommend Table Brasserie,HIGH,Monitor Closely,Zone D — Waterfront,Private Gathering,Weehawken,Hudson County,New Jersey,Special Dining Event,Dining,Medium,1:00 PM,3:00 PM,HIGH
CHK00067,USR0984,VEN041,Oak Bar,Bar/Lounge,40.698631,-74.006931,04/26/2024 04:18:48 PM,71,89,Friday,16,0,Rainy,45+,Nightlife,Low,64,50,Live Music,New,Recommend Copper Tavern,HIGH,Monitor Closely,Zone A — Downtown,Live Entertainment,Jersey City,Hudson County,New Jersey,Live Music Night,Nightlife,Medium,4:00 PM,6:00 PM,HIGH
CHK00068,USR0971,VEN095,Harvest Restaurant,Restaurant,40.703387,-74.019906,01/21/2024 09:56:31 PM,61,65,Sunday,21,1,Rainy,35-44,Coffee,Low,56,50,Happy Hour,New,Recommend Kitchen Brasserie,ELEVATED,Routine Patrol,Zone D — Waterfront,Alcohol Service,Weehawken,Hudson County,New Jersey,Special Dining Event,Dining,Medium,9:00 PM,11:00 PM,ELEVATED
CHK00069,USR0532,VEN129,Bean Coffee,Cafe,40.72056,-73.972391,04/04/2024 09:41:22 AM,63,40,Thursday,9,0,Sunny,45+,Music,Low,41,50,Networking Event,New,Recommend Steam Cafe,ELEVATED,Routine Patrol,Zone J — Industrial,Large Gathering,Harrison,Essex County,New Jersey,Morning Rush,Dining,Medium,9:00 AM,11:00 AM,ELEVATED
